"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"CH","2017-05-21","85.1","2.2271","5.3644","Chris Iannetta",592669,519008,"single","hit_into_play_score",,,,,"14","Hunter Renfroe singles on a soft ground ball to pitcher T.  J.   McFarland.   Allen Cordoba scores.    Wil Myers to 3rd.    Ryan Schimpf to 2nd.  ","R","R","L","SD","ARI","X","null","ground_ball",0,1,2017,"-0.7671","-0.3285","0.8571","1.5402","642707.00","571976.00","572114.00",1,8,"Bot","121.14","194.64",,,455104,,"170521_224538",,,,,,,"3.6285","1.7602","4","40.4","-59.4850","84.4360","1634","5.6910",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8077","0.123","0.115","0.90",1,1,0
"SI","2017-05-21","91.0","2.1415","5.4026","Chris Iannetta",592669,519008,"null","called_strike",,,,,"14","null","R","R","L","SD","ARI","S","null","null",0,0,2017,"-0.8359","-0.0660","0.6519","1.5729","642707.00","571976.00","572114.00",1,8,"Bot","null","null",,,455104,,"170521_224516",,,,,,,"3.6789","1.9011","null","null","null","90.5140","2015","5.6200",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8783","0.000","0.000","null","null","null","null"
"SI","2017-05-21","90.5","2.1287","5.4090","Chris Iannetta",572114,519008,"hit_by_pitch","hit_by_pitch",,,,,"12","Ryan Schimpf hit by pitch.    Allen Cordoba to 3rd.    Wil Myers to 2nd.  ","R","L","L","SD","ARI","B","null","null",3,2,2017,"-0.7737","-0.0486","2.0222","3.1577","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224329",,,,,,,"3.3228","1.6502","null","null","null","90.1950","2047","6.0280",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.4704","0.000","0.000","0.70",1,0,0
"SI","2017-05-21","92.3","2.1006","5.3634","Chris Iannetta",572114,519008,"null","ball",,,,,"3","null","R","L","L","SD","ARI","B","null","null",2,2,2017,"-1.0049","-0.0849","0.7275","3.1315","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224305",,,,,,,"3.2971","1.5719","null","null","null","91.5050","2154","5.8680",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.6308","0.000","0.000","null","null","null","null"
"SI","2017-05-21","91.8","2.1912","5.3201","Chris Iannetta",572114,519008,"null","foul",,,,,"8","null","R","L","L","SD","ARI","S","null","null",2,2,2017,"-0.8970","-0.2639","0.0490","1.5437","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224233",,,,,,,"3.2815","1.6189","null","null","null","90.7980","2118","5.8010",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.6974","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.3","2.0582","5.2803","Chris Iannetta",572114,519008,"null","foul",,,,,"5","null","R","L","L","SD","ARI","S","null","null",2,1,2017,"-0.9445","-0.1140","-0.1765","2.6433","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224149",,,,,,,"3.2736","1.6346","null","null","null","91.2130","2132","5.5190",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.9793","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.2","2.0385","5.4725","Chris Iannetta",572114,519008,"null","ball",,,,,"13","null","R","L","L","SD","ARI","B","null","null",1,1,2017,"-0.9107","0.3344","-1.1503","0.7515","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224119",,,,,,,"3.1798","1.6502","null","null","null","91.3270","2087","5.8000",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.6981","0.000","0.000","null","null","null","null"
"SL","2017-05-21","82.6","2.1169","5.5396","Chris Iannetta",572114,519008,"null","blocked_ball",,,,,"13","null","R","L","L","SD","ARI","B","null","null",0,1,2017,"0.6894","0.0101","-0.8467","-0.0054","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224048",,,,,,,"3.2784","1.6560","null","null","null","82.0220","2360","5.7540",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.7443","0.000","0.000","null","null","null","null"
"SL","2017-05-21","80.9","2.2238","5.5212","Chris Iannetta",572114,519008,"null","called_strike",,,,,"14","null","R","L","L","SD","ARI","S","null","null",0,0,2017,"1.0122","-0.2041","0.9282","2.3449","null","642707.00","571976.00",1,8,"Bot","null","null",,,455104,,"170521_224024",,,,,,,"3.2267","1.6737","null","null","null","80.2030","2336","5.4640",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.0342","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.1","2.1159","5.4280","Chris Iannetta",571976,519008,"walk","ball",,,,,"13","Wil Myers walks.   Allen Cordoba to 2nd.  ","R","R","L","SD","ARI","B","null","null",3,1,2017,"-1.0657","0.4888","-0.8111","0.4175","null","null","642707.00",1,8,"Bot","null","null",,,455104,,"170521_223918",,,,,,,"3.6036","1.6954","null","null","null","91.6840","2153","5.9160",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.5823","0.000","0.000","0.70",1,0,0
"SL","2017-05-21","81.0","2.1476","5.4072","Chris Iannetta",571976,519008,"null","ball",,,,,"14","null","R","R","L","SD","ARI","B","null","null",2,1,2017,"1.0636","-0.3436","1.1212","1.9667","null","null","642707.00",1,8,"Bot","null","null",,,455104,,"170521_223855",,,,,,,"3.5567","1.7346","null","null","null","80.5260","2335","5.4530",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.0460","0.000","0.000","null","null","null","null"
